names,Top_course,location,public/private,rating/5,fee_structure,entrance_text,other_course
"[""APCOER Pune - ABMSP's Anantrao Pawar College of Engineering and Research, ""]",B.Voc Automobile Servicing,Pune,Private,5.0,2.11,JEE,8.0
Abohar Polytechnic College,Diploma in Electrical Engineering,Abohar,Private,3.9539370078740155,3.7,JEE,6.0
ABR College of Engineering and Technology,B.Tech Agricultural Engineering,Prakasam,Private,3.9539370078740155,3.7,JEE,9.0
ABS Academy of Polytechnic,Diploma in Mechanical Engineering,Durgapur,Private,3.9539370078740155,3.7,JEXPO,6.0
ABSS Institute of Technology,B.Tech Computer Science and Engineering,Meerut,Private,0.5,3.7,UPCET,5.0
Abu Road Polytechnic College,Diploma in Civil Engineering,Abu Road,Private,5.0,3.7,JEE,6.0
Academy of Applied Art,Diploma in Interior Architecture and Styling,New Delhi,Private,3.9539370078740155,3.7,JEE,6.0
AMET University Kanathur - Academy of Maritime Education and Training,BE Marine Engineering,Kanathur Reddikuppam,Private,3.6,3.7,AMET,9.0
[],M.Tech and Ph.D Engineering Integrated,Chennai,Public,4.8,2.5,JEE,6.0
AcSIR Ghaziabad - Academy of Scientific and Innovative Research,Ph.D Engineering,Ghaziabad,Public,4.7,3.7,JEE,6.0
AOT Hooghly - Academy of Technology,B.Tech Computer Science and Engineering,Hooghly,Private,4.1,4.59,JEE,10.0
Accurate Institute of Architecture and Planning,B.Arch,Greater Noida,Private,3.9539370078740155,3.7,JEE,6.0
"Accurate Institute of Management and Technology, Greater Noida (AIMT Greater Noida) - Accurate Institute of Management and Technology",B.Tech Computer Science and Engineering,Greater Noida,Private,3.4,4.75,JEE,7.0
Accurate Institute of Polytechnic,Diploma in Computer Science and Engineering,Greater Noida,Private,5.0,3.7,JEE,6.0
ACE College of Engineering and Management,B.Tech Computer Science and Engineering,Agra,Private,3.0,3.7,UPCET,4.0
ACE College of Engineering,B.Tech Civil Engineering,Thiruvananthapuram,Private,5.0,3.7,JEE,7.0
ACE Engineering College,B.Tech Computer Science and Engineering,Ghatkesar,Private,3.8,3.7,JEE,9.0
ACET Pondicherry - Achariya College of Engineering Technology,B.Tech Computer Science and Engineering,Villianur,Private,3.0,3.7,JEE,6.0
Acharya Baldev Polytechnic College,Diploma in Civil Engineering,Jaunpur,Private,3.9539370078740155,3.7,JEE,6.0
Acharya College of Engineering,B.Tech Computer Science and Engineering,Kadapa,Private,5.0,3.7,JEE,5.0
AIGS Bangalore - Acharya Institute of Graduate Studies,BCA Artificial Intelligence,Bangalore,Private,4.3,3.7,JEE,6.0
"Acharya Institute of Technology, Bangalore (AIT Bangalore ) - Acharya Institute of Technology",BE Computer Science and Engineering,Bangalore,Private,3.8,4.59,COMEDK,13.0
Acharya Jagadish Chandra Bose Polytechnic,Diploma in Civil Engineering,North 24 Parganas,Public,3.9539370078740155,3.7,JEE,6.0
Acharya Nagarjuna University College of Architecture and Planning,B.Arch,Guntur,Public,3.5,3.7,JEE,6.0
ANU Guntur - Acharya Nagarjuna University,B.Tech Electronics and Communication Engineering,Guntur,Public,4.7,2.44,AP,16.0
Acharya Narendra Deva University of Agriculture and Technology,B.Tech Agricultural Engineering,Kumarganj,Public,3.9,3.7,JEE,3.0
Acharya Narendra Dev College,B.Sc Electronics Hons,New Delhi,Public,4.2,3.7,CUET,6.0
Acharya Patashala Polytechnic,Diploma in Civil Engineering,Bangalore,Private,3.9539370078740155,3.7,JEE,6.0
Acharya Polytechnic,Diploma in Computer Science and Engineering,Bangalore,Private,3.5,3.7,JEE,6.0
Acharya Polytechnic College,Diploma in Mechanical Engineering,Salem,Private,3.9539370078740155,3.7,JEE,6.0
APC College Kolkata - Acharya Prafulla Chandra College,B.Sc Electronics Hons,Kolkata,Private,4.4,3.7,JEE,6.0
Acharya Prafulla Chandra Ray Polytechnic,Diploma in Civil Engineering,Kolkata,Public,3.9539370078740155,3.7,JEXPO,6.0
Acharya School of Design,BVA Product Design,Bangalore,Private,3.9539370078740155,3.7,JEE,6.0
Acharya Shri Chander Technical Institute,Diploma in Civil Engineering,Jammu,Private,3.9539370078740155,3.7,JEE,6.0
Acharya Shrimannarayan Polytechnic,Diploma in Civil and Rural Engineering,Wardha,Private,3.9539370078740155,3.7,JEE,6.0
"[""Acharya's NRV School of Architecture, ""]",B.Arch,Bangalore,Private,3.9539370078740155,3.7,JEE,6.0
Acharya Vinoba Bhave Institute of Technology,B.Tech Civil Engineering,Pavnar,Private,3.9539370078740155,3.7,JEE,6.0
Achutha Institute of Technology,BE Aeronautical Engineering,Chikkaballapur,Private,0.5,3.7,KCET,5.0
AC Kunhimon Haji Memorial ICA College,B.Sc Electronics,Thrissur,Private,3.9539370078740155,3.7,JEE,6.0
ACME College of Engineering,B.Tech Mechanical Engineering,Ghaziabad,Private,3.9539370078740155,3.0,JEE,6.0
ACN College of Engineering and Management Studies,B.Tech Civil Engineering,Aligarh,Private,4.0,3.7,UPCET,5.0
ACN College of Polytechnic,Diploma in Mechanical Engineering,Aligarh,Private,3.7,3.7,JEE,6.0
AC Patil College of Engineering,BE Electrical Engineering,Navi Mumbai,Private,3.9,3.62,JEE,5.0
Acropolis Institute of Technology and Research,BE Civil Engineering,Bhopal,Private,4.0,2.67,JEE,5.0
AITR Indore - Acropolis Institute of Technology and Research,B.Tech Computer Science and Engineering,Indore,Private,4.3,3.7,JEE,12.0
ACSCE Bangalore - ACS College of Engineering,BE Computer Science and Engineering,Bangalore,Private,3.2,3.7,JEE,10.0
ACT College of Engineering and Technology,BE Electronics and Communication Engineering,Kancheepuram,Private,3.9539370078740155,3.7,JEE,5.0
Adaikalamatha College,M.Sc Electronics,Thanjavur,Private,3.9539370078740155,3.7,JEE,6.0
Adamas Institute of Technology,B.Tech Civil Engineering,Kolkata,Private,2.4,3.51,JEE,6.0
Adamas University,B.Tech Electronics and Communication Engineering Hons,Kolkata,Private,4.2,3.7,JEE,10.0
"[""Adam's Engineering College, ""]",B.Tech Civil Engineering,Khammam,Private,3.9,3.7,TS,6.0
Adani Institute of Infrastructure Engineering,B.Tech Computer Science and Engineering Artificial Intelligence and Machine Learning,Shantigram,Private,4.5,7.1,JEE,3.0
ACE Angul - Adarsha College of Engineering,B.Tech Mechanical Engineering,Angul,Private,3.9539370078740155,3.7,JEE,8.0
Adarsha Institute of Technology and Management,Diploma in Mechanical Engineering,Angul,Private,3.9539370078740155,3.7,JEE,6.0
Adarsha School of Engineering and International Polytechnic,Diploma in Civil Engineering,Angul,Private,5.0,3.7,JEE,6.0
Adarsha Science Jairamdas Bhagchand Arts and Birla Commerce Mahavidyalaya,M.Sc Electronics,Dhamangaon,Private,3.9539370078740155,3.7,JEE,6.0
Adarsh College of Engineering,B.Tech Computer Science and Engineering,Kakinada,Private,3.7,3.7,AP,5.0
Adarsh Institute of Technology and Research Center,Diploma in Artificial Intelligence and Machine Learning,Vita,Private,4.5,3.7,JEE,6.0
Adarsh Institute of Technology,Diploma in Civil Engineering,Vita,Private,3.9539370078740155,3.7,JEE,6.0
Adarsh Polytechnic College,Diploma in Mechanical Engineering,Samana,Private,3.9539370078740155,3.7,JEE,6.0
Adarsh Polytechnic,Diploma in Civil Engineering,Dhule,Private,3.9539370078740155,1.2,JEE,6.0
Adarsh Polytechnic,Diploma in Civil Engineering,Ghazipur,Private,3.9539370078740155,3.7,JEECUP,6.0
Adarsh Polytechnic,Diploma in Mechanical Engineering,Julana Rural,Private,3.9539370078740155,3.7,JEE,6.0
"[""Adarsh Shikshan Prasarak Mandal's KT Patil College of Engineering and Technology, ""]",B.Tech Electrical and Electronics Engineering,Osmanabad,Private,3.9539370078740155,3.7,JEE,3.0
Adesh Institute of Engineering and Technology,B.Tech Civil Engineering,Faridkot,Private,2.0,3.7,JEE,4.0
Adesh Institute of Technology,B.Tech Civil Engineering,Gharuan,Private,1.6,3.7,JEE,5.0
Adesh Polytechnic College,Diploma in Civil Engineering,Marh Mallu,Private,3.9539370078740155,3.7,JEE,6.0
Adharshila College of Professional Courses,Diploma in Medical Lab Technician,Raebareli,Private,3.9539370078740155,3.7,JEE,6.0
Adhi College of Engineering and Technology,BE Artificial Intelligence and Data Science,Kancheepuram,Private,4.5,3.7,JEE,7.0
Adhiparasakthi College of Engineering,B.Tech Information Technology,Vellore,Private,4.0,1.0,JEE,6.0
Adhiparasakthi Engineering College,BE Computer Science and Engineering,Kancheepuram,Private,3.3,3.7,JEE,8.0
Adhiparasakthi Polytechnic College,Diploma in Electrical and Electronics Engineering,Melmaruvathur,Private,3.9539370078740155,3.7,JEE,6.0
Adhiparasakthi Polytechnic College,Diploma in Electrical and Electronics Engineering,Pappireddipatti,Private,3.9539370078740155,3.7,JEE,6.0
Adhiyamaan College of Engineering,BE Computer Science and Engineering,Krishnagiri,Private,3.9,3.7,JEE,11.0
Adhiyamaan Polytechnic College,Diploma in Mechanical Engineering,Krishnagiri,Private,3.9539370078740155,3.7,JEE,6.0
Adhunik College of Engineering,B.Tech Civil Engineering,Ghaziabad,Private,3.9539370078740155,3.7,UPCET,5.0
AIT Chikmagalur - Adichunchanagiri Institute of Technology,BE Electronics and Communication Engineering,Chikmagalūr,Private,4.0,3.7,COMEDK,8.0
Adichunchanagiri Polytechnic College,Diploma in Civil Engineering,Chikmagalūr,Private,3.9539370078740155,3.7,JEE,6.0
Adichunchanagiri University,M.Tech Data Analytics,Mandya,Private,3.9539370078740155,3.7,JEE,6.0
"Adikavi Nannaya University, MSN Campus",Ph.D Computer Science and Engineering,Kakinada,Public,4.0,3.7,JEE,6.0
Adikavi Nannaya University,B.Sc Electronics Hons Self Finance,Rajahmundry,Public,4.1,3.7,JEE,5.0
ADINA Institute of Science and Technology,BE Computer Science and Engineering,Lahdara,Private,3.9539370078740155,3.7,JEE,5.0
ASIET Kalady - Adi Shankara Institute of Engineering and Technology,B.Tech Computer Science and Engineering,Ernakulam,Private,4.0,3.28,KEAM,9.0
Adithya Institute of Technology,BE Mechanical Engineering,Coimbatore,Private,3.9539370078740155,3.7,JEE,7.0
Aditya Academy of Architecture and Design,B.Arch,Bangalore,Private,3.9539370078740155,3.7,JEE,6.0
Aditya College of Architecture,B.Arch,Mumbai,Private,5.0,3.7,JEE,6.0
Aditya College of Engineering and Advanced Studies,Diploma in Civil Engineering,Ahmedabad,Private,3.9539370078740155,3.7,JEE,2.0
Aditya College of Engineering and Technology,B.Tech Artificial Intelligence and Machine Learning,Bangalore,Private,3.9539370078740155,3.7,COMEDK,6.0
Aditya College of Engineering and Technology,B.Tech Computer Science and Engineering,East Godavari,Private,4.5,3.7,AP,8.0
Aditya College of Engineering,B.Tech Computer Science and Engineering,Chittoor,Private,4.4,3.7,JEE,6.0
Aditya College of Engineering,B.Tech Computer Science and Engineering,East Godavari,Private,4.7,3.7,AP,9.0
ACTS Satna - Aditya College of Technology and Science,Diploma in Cement Technology,Satna,Private,3.9539370078740155,3.7,JEE,7.0
Aditya Degree College,B.Sc Artificial Intelligence Hons,Visakhapatnam,Private,5.0,3.7,JEE,6.0
Aditya Degree College,B.Sc Robotics and Artificial Intelligence,Visakhapatnam,Private,4.5,3.7,JEE,6.0
Aditya Degree College,B.Sc Artificial Intelligence,Kakinada,Private,4.7,3.7,JEE,6.0
Aditya Degree College,B.Sc Artificial Intelligence and Robotics,East Godavari,Private,3.8,3.7,JEE,6.0
Aditya Degree College Womens,B.Sc Artificial Intelligence & Robotics,Kakinada,Private,4.3,3.7,JEE,6.0
Aditya Engineering College,B.Tech Information Technology,Beed,Private,3.9539370078740155,3.7,JEE,9.0
Aditya Engineering College,B.Tech Electronics and Communication Engineering,Surampalem,Private,4.2,3.7,AP,11.0
AITAM Tekkali - Aditya Institute of Technology and Management,B.Tech Computer Science and Engineering,Srikakulam,Private,4.3,2.69,JEE,8.0
Aditya Institute of Technology,Diploma in Computer Engineering,New Delhi,Private,3.9539370078740155,3.7,JEE,6.0
Aditya Polytechnic College,Diploma in Computer Science and Engineering,Beed,Private,3.9539370078740155,3.7,JEE,6.0
Aditya Polytechnic,Diploma in Civil Engineering,Lanja,Private,3.9539370078740155,3.7,JEE,6.0
Aditya Silver Oak Institute of Technology,B.Tech Chemical Engineering,Ahmedabad,Private,4.7,3.7,GUJCET,9.0
ADJ Dharmambal Polytechnic College,Diploma in Computer Engineering,Nagapattinam,Public,3.9539370078740155,3.7,JEE,6.0
ADIT Anand - AD Patel Institute of Technology,B.Tech Information Technology,Anand,Private,4.1,4.24,GUJCET,11.0
ADRS Institute of Technology and Management,Diploma in Civil Engineering,Aligarh,Private,3.9539370078740155,3.7,JEECUP,6.0
"[""Adsul's Technical Campus, ""]",BE Computer Engineering,Chas,Private,3.4,3.36,MHT,5.0
Adusumalli Vijaya College of Engineering and Research Centre,B.Tech Civil Engineering,Nalgonda,Private,3.9539370078740155,3.7,JEE,8.0
Adusumilli Vijaya Institute of Technology and Research Centre,B.Tech Civil Engineering,Nalgonda,Private,3.9539370078740155,3.7,JEE,9.0
Advait Vedanta Institute of Technology,Diploma in Civil Engineering,Jaipur,Private,3.9539370078740155,3.7,JEE,5.0
ACTM Palwal - Advanced College of Technology and Management,B.Tech Civil Engineering,Aurangabad,Private,3.9539370078740155,3.7,JEE,4.0
AITM Palwal - Advanced Institute of Technology and Management,B.Tech Computer Science and Engineering,Palwal,Private,5.0,3.12,JEE,7.0
Advanced Plastics Processing Technology Centre,Diploma in Plastic Technology,Balasore,Public,3.9539370078740155,3.7,CIPET,6.0
Advanced Plastics Product Simulation and Evaluation Centre,Diploma in Chemical Engineering,Raisen,Public,3.9539370078740155,3.7,JEE,6.0
Advanced Technical Training Centre,Diploma in Civil Engineering,East Sikkim,Public,3.9539370078740155,3.7,JEE,6.0
AMIT Banka - Adwaita Mission Institute of Technology,B.Tech Civil Engineering,Maniyarpur,Private,3.9539370078740155,3.7,JEE,5.0
Adyapeath Annada Polytechnic College,Diploma in Civil Engineering,Kolkata,Private,3.9539370078740155,3.7,JEE,6.0
AECS Pavan Polytechnic,Diploma in Mechanical Engineering,Kolar,Private,3.9539370078740155,3.7,JEE,6.0
Aero Institute of Technology,Diploma in Aircraft Maintenance Engineering,Namakkal,Private,3.9539370078740155,3.7,JEE,6.0
Aeronautical Training Institute,Diploma in Aircraft Maintenance Engineering,Lucknow,Public,3.9539370078740155,3.7,JEECUP,6.0
AERP Institute of Technology and Management,Diploma in Civil Engineering,Palwal,Private,3.9539370078740155,3.7,JEE,6.0
Aesthetic of Interiors Academy,Diploma in Architecture Assistantship,Hyderabad,Private,3.9539370078740155,3.7,JEE,6.0
A1 Global Institute of Engineering and Technology,B.Tech Electronics and Communication Engineering,Prakasam,Private,5.0,3.7,AP,9.0
AGM Rural College of Engineering and Technology,BE Computer Science and Engineering,Hubli,Private,2.4,3.7,JEE,8.0
AGM Rural Polytechnic,Diploma in Civil Engineering,Dharwad,Private,3.9539370078740155,3.7,JEE,6.0
Agnel Institute of Technology and Design,BE Computer Engineering,Assagao,Private,3.9539370078740155,4.88,JEE,3.0
Agnel Polytechnic,Diploma in Automobile Engineering,Goa,Private,3.9539370078740155,3.7,JEE,6.0
Agnel Polytechnic,Diploma in Mechanical Engineering,Navi Mumbai,Private,4.8,2.55,JEE,6.0
Agnel Technical College,Diploma in Production Engineering,Mumbai,Public,3.9539370078740155,3.7,JEE,6.0
Agni College of Technology,BE Computer Science and Engineering,Thalambur,Private,4.6,3.7,JEE,12.0
Agnihotri College of Engineering,BE Civil Engineering,Wardha,Private,5.0,3.7,JEE,5.0
Agnihotri Polytechnic,Diploma in Electrical Engineering,Wardha,Private,3.9539370078740155,3.7,JEE,6.0
Agnihotri School of Technology,Diploma in Civil Engineering,Wardha,Private,3.9539370078740155,1.95,JEE,6.0
Agni School of Architecture and Design Excellence,B.Arch,Vadamadurai,Private,3.9539370078740155,3.7,NATA,6.0
Agnos College of Technology,BE Civil Engineering,Bhopal,Private,3.9539370078740155,3.7,JEE,4.0
AG Patil Institute of Technology,B.Tech Civil Engineering,Solapur,Private,4.5,3.7,JEE,4.0
AG Patil Polytechnic Institute,Diploma in Civil Engineering,Solapur,Private,3.9539370078740155,2.13,JEE,6.0
Agra College,B.Tech Civil Engineering,Agra,Public,3.8,3.7,JEE,6.0
Agrasen Polytechnic College,Diploma in Civil Engineering,Balod,Private,3.9539370078740155,3.7,JEE,6.0
Agrawal PG College,Diploma in Fire Technology and Industrial Safety Management,Jaipur,Private,3.5,3.7,JEE,6.0
"Agricultural College and Research Institute, Tamil Nadu Agricultural University",B.Tech Biotechnology,Coimbatore,Public,4.0,3.7,JEE,6.0
Agricultural Engineering College and Research Institute,B.Tech Food Technology,Coimbatore,Public,4.5,3.7,JEE,3.0
Agricultural Engineering College and Research Institute,B.Tech Agricultural Engineering,Kumulur,Public,5.0,3.7,JEE,6.0
Agurchand Manmull Jain College,B.Sc Electronics and Communication Science,Chennai,Private,3.8,3.7,JEE,6.0
Ahalia School of Engineering and Technology,B.Tech Computer Science and Engineering,Palakkad,Private,4.0,3.28,KEAM,5.0
Ahinsa Institute of Technology,Diploma in Civil Engineering,Dondaicha,Private,3.9539370078740155,3.7,JEE,6.0
Ahmedabad Institute of Technology,B.Tech Computer Engineering,Ahmedabad,Private,4.2,3.7,GUJCET,10.0
Ahmedabad University - Ahmedabad University,B.Sc Mathematical and Computational Sciences Hons,Ahmedabad,Private,4.6,18.4,JEE,4.0
AISECT Institute of Science and Technology,BE Electronics and Communication Engineering,Bhopal,Private,3.9539370078740155,1.88,JEE,6.0
AISECT University,Diploma in Civil Engineering,Hazaribagh,Private,4.4,3.7,JEE,6.0
Aishwarya College of Engineering and Technology,BE Artificial Intelligence and Data Science,Paruvachi,Private,3.9539370078740155,3.7,JEE,6.0
Aishwarya Polytechnic College,Diploma in Civil Engineering,Paruvachi,Private,3.9539370078740155,3.7,JEE,6.0
AISSMS COE Pune - AISSMS College of Engineering,BE Civil Engineering,Pune,Private,3.9,5.36,JEE,10.0
Aizza College of Engineering and Technology,Diploma in Mining Engineering,Adilabad,Private,4.4,3.7,JEE,3.0
ABIT Cuttack - Ajay Binay Institute of Technology,B.Tech Computer Science and Engineering,Cuttack,Private,2.8,3.7,JEE,6.0
AKGEC Ghaziabad - Ajay Kumar Garg Engineering College,B.Tech Computer Science and Engineering,Ghaziabad,Private,3.9,4.78,JEE,12.0
Ajeenkya DY Patil School of Engineering,BE Computer Engineering,Pune,Private,4.1,4.23,JEE,6.0
"ADYPU, Pune - Ajeenkya DY Patil University",B.Arch,Pune,Private,3.9,3.7,JEE,15.0
AJ Institute of Engineering and Technology,B.Tech Computer Science and Engineering,Mangalore,Private,3.9539370078740155,3.7,KCET,8.0
Ajitdada Pawar College of Polytechnic,Diploma in Mechanical Engineering,Ahmednagar,Private,3.9539370078740155,3.7,JEE,6.0
AJK College of Arts and Science,B.Sc Electronics and Communication Systems,Coimbatore,Private,3.9539370078740155,3.7,JEE,6.0
Ajmer Institute of Technology,B.Tech Electronics and Communications Engineering,Ajmer,Private,3.8,3.7,JEE,8.0
New Arts College Ahmednagar - AJMVP New Arts Commerce and Science College,B.Sc Electronic Science,Ahmednagar,Private,4.1,3.7,JEE,6.0
Akal College of Agriculture,B.Tech Food Technology Hons,Baru Sahib,Private,3.9539370078740155,2.45,JEE,6.0
Akal College of Engineering and Technology,B.Tech Computer Science Engineering,Baru Sahib,Private,3.9539370078740155,4.37,JEE,2.0
Akal University,B.Tech Computer Science Engineering,Talwandi Sabo,Private,3.5,3.72,JEE,6.0
Akash Global College of Management and Science,BBA Entrepreneurship,Bangalore,Private,3.9539370078740155,3.7,JEE,6.0
Akash Institute of Engineering and Technology,B.Tech Artificial Intelligence and Data Science,Bangalore,Private,3.9539370078740155,3.7,COMEDK,6.0
Akash Institute of Technology,Diploma in Mechanical Engineering,Kanina,Private,3.9539370078740155,3.7,JEE,6.0
Akido College of Engineering,B.Tech Civil Engineering,Bahadurgarh,Private,4.0,3.7,JEE,4.0
Aklia Educational and Research Society Group of Institutions,B.Tech Computer Science and Engineering,Goniana,Private,3.9539370078740155,3.7,JEE,4.0
Aklia Polytechnic College,Diploma in Mechanical Engineering,Goniana,Private,3.9539370078740155,3.7,JEE,6.0
AKM Polytechnic College,Diploma in Civil Engineering,Kollam,Private,3.9539370078740155,3.7,JEE,6.0
AKNM Government Polytechnic College,Diploma in Computer Engineering,Malappuram,Public,3.9539370078740155,3.7,JEE,6.0
"[""Akole Taluka Education Society's Faculty of Polytechnic, ""]",Diploma in Civil Engineering,Akole,Private,3.9539370078740155,1.2,JEE,6.0
AKRG College of Engineering and Technology,B.Tech Civil Engineering,West Godavari,Private,3.9539370078740155,3.7,AP,5.0
Aksharaa Polytechnic,Diploma in Mechanical Engineering,Vizianagaram,Private,3.9539370078740155,3.7,JEE,6.0
Akshara Polytechnic College,Diploma in Electrical and Electronics Engineering,Nalgonda,Private,3.9539370078740155,3.7,JEE,6.0
Akshaya Bharathi Institute of Technology,B.Tech Petroleum Engineering,Hyderabad,Private,3.9539370078740155,3.7,JEE,6.0
Akshaya College of Engineering and Technology,BE Computer Science and Engineering,Coimbatore,Private,4.0,3.7,JEE,8.0
Akshaya Institute of Technology,BE Computer Science and Engineering,Chikkagundagal,Private,3.9539370078740155,3.7,KCET,7.0
Aksheyaa College of Engineering,BE Electronics and Communication Engineering,Kancheepuram,Private,3.3,3.7,JEE,5.0
AKS University,Diploma in Electrical Engineering Lateral Entry,Satna,Private,3.7,3.7,JEE,17.0
AKT Memorial College of Engineering and Technology,BE Computer Science and Engineering,Villupuram,Private,3.9539370078740155,3.7,JEE,8.0
AKT Memorial Polytechnic College,Diploma in Mechanical Engineering,Kallakurichi,Private,3.9539370078740155,3.7,JEE,6.0
Akula Sreeramulu College of Engineering,Diploma in Mechanical Engineering,Tanuku,Private,3.0,3.7,JEE,6.0
Akula Sree Ramulu Institute of Engineering and Technology,Diploma in Civil Engineering,West Godavari,Private,3.9539370078740155,3.7,JEE,6.0
AKY Polytechnic College,Diploma in Mechanical Engineering,Vallavankottai,Private,3.9539370078740155,3.7,JEE,6.0
ACCET Karaikudi - Alagappa Chettiar College of Engineering and Technology,BE Mechanical Engineering,Karaikudi,Public,4.4,3.7,JEE,8.0
Alagappa College of Technology,B.Tech Chemical Engineering,Chennai,Public,4.4,3.7,JEE,9.0
Alagappa Polytechnic College,Diploma in Civil Engineering,Karaikudi,Public,3.9539370078740155,3.7,JEE,6.0
Alagappa University - Alagappa University,B.Sc Aircraft Maintenance Science,Karaikudi,Public,4.3,4.8,JEE,6.0
APGSU Shimla - Alakh Prakash Goyal Shimla University,B.Tech Computer Science Engineering,Taradevi,Private,3.4,4.0,JEE,2.0
Al-Ameen College,B.Voc Sound Engineering,Ernakulam,Private,3.9539370078740155,3.7,JEE,6.0
"[""Al-Ameen Educational and Medical Foundation's College of Engineering and Management Studies, ""]",BE Mechanical Engineering,Pune,Private,1.5,3.7,JEE,3.0
Al-Ameen Engineering College,BE Computer Science and Engineering,Erode,Private,3.9539370078740155,3.7,JEE,7.0
Al-Ameen Engineering College,B.Tech Artificial Intelligence and Data Science,Palakkad,Private,3.9539370078740155,3.7,JEE,7.0
Al Ameen Polytechnic College,Diploma in Automobile Engineering,Nanjaiuthukuli,Private,3.9539370078740155,3.7,JEE,6.0
